titulo	autor	tipo	paginaIni	paginaFin	posIni	posFin	fecha	mensaje
Controle su destino	Anthony Robbins	Subrayado	16		231	233	30/11/2017 07:47:17	Escribí todas aquellas cosas que ya no estaba dispuesto a aceptar en mi vida, todas las que ya no quería seguir tolerando, y todas aquellas en que aspiraba convertirme.
Controle su destino	Anthony Robbins	Nota	16		232		30/11/2017 07:48:09	1
Controle su destino	Anthony Robbins	Subrayado	16		239	239	30/11/2017 07:50:52	Segundo paso: Cambie sus creencias limitadoras
Controle su destino	Anthony Robbins	Subrayado	17		253	255	30/11/2017 07:51:21	Una de mis convicciones más profundas es la de que si establece un criterio más elevado, y logra creer en él, no cabe la menor duda de que conseguirá imaginar también las estrategias más adecuadas para alcanzarlo. Sencillamente, encontrará un camino.
Controle su destino	Anthony Robbins	Subrayado	17		256	260	30/11/2017 07:52:00	le diré ahora mismo que, en casi todos los casos, la mejor estrategia consiste en encontrar un modelo, alguien que ya haya alcanzado los resultados que desea usted conseguir, para luego utilizados conocimientos de esas personas. Aprenda de lo que están haciendo, cuáles son sus creencias más profundas, y cómo piensan. Eso no sólo le permitirá ser más efectivo, sino que también le ahorrará una gran cantidad de tiempo, porque no se verá obligado a reinventar la rueda. Podrá sintonizar con ello, reconfigurarlo y, quizás, hasta mejorarlo.
Controle su destino	Anthony Robbins	Subrayado	18		265	266	30/11/2017 07:52:33	en la vida hay mucha gente que sabe lo que quiere hacer, pero pocas personas son las que hacen realmente lo que saben. ¡Saberlo no es suficiente! Debe emprender la acción.
Controle su destino	Anthony Robbins	Subrayado	18		273	274	30/11/2017 07:53:24	1. Dominio emocional
Controle su destino	Anthony Robbins	Subrayado	19		292	292	30/11/2017 07:54:07	2. Dominio físico
Controle su destino	Anthony Robbins	Subrayado	20		301	302	30/11/2017 07:54:49	3. Dominio de las relaciones
Controle su destino	Anthony Robbins	Subrayado	21		311	312	30/11/2017 07:55:07	4. Dominio financiero
Controle su destino	Anthony Robbins	Subrayado	21		320	321	30/11/2017 07:55:28	La clave no consiste en la mera persecución de la riqueza, sino en cambiar sus creencias y actitudes sobre ella, para veda como un medio de contribución, y no como un fin absoluto para alcanzar la felicidad.
Controle su destino	Anthony Robbins	Subrayado	22		326	326	30/11/2017 07:55:39	5. Dominio del tiempo
Controle su destino	Anthony Robbins	Subrayado	25		377	379	30/11/2017 08:15:58	DECISIONES: EL CAMINO HACIA EL PODER
Controle su destino	Anthony Robbins	Subrayado	26		396	398	05/12/2017 07:45:42	«¿Cómo voy a vivir los próximos diez años de mi vida? ¿Cómo voy a vivir hoy para crear el mañana con el que estoy comprometido? ¿Qué me voy a proponer a pedir de ahora? ¿Qué es importante para mí ahora mismo, y qué será importante a largo plazo? ¿Qué acciones puedo emprender hoy mismo para que configuren mi destino futuro?»
Controle su destino	Anthony Robbins	Subrayado	27		400	400	05/12/2017 07:46:01	Ahora es el momento para diseñar los próximos diez años de su vida, y no una vez que hayan transcurrido.
